Company,Website,Annual Report
Microsoft Corporation,https://www.microsoft.com/,https://stocklight.com/stocks/us/nasdaq-msft/microsoft-corporation/annual-reports/nasdaq-msft-2023-10K-231118330.pdf
Apple,https://www.apple.com/,https://stocklight.com/stocks/us/nasdaq-aapl/apple/annual-reports/nasdaq-aapl-2023-10K-231373899.pdf
NVIDIA,https://www.nvidia.com/,https://stocklight.com/stocks/us/nasdaq-nvda/nvidia/annual-reports/nasdaq-nvda-2024-10K-24660316.pdf
Alphabet,https://about.google/,https://stocklight.com/stocks/us/nasdaq-goog/alphabet/annual-reports/nasdaq-goog-2024-10K-24580445.pdf
Amazon.com,https://www.aboutamazon.com/,https://stocklight.com/stocks/us/nasdaq-amzn/amazon-com/annual-reports/nasdaq-amzn-2024-10K-24588330.pdf
Meta Platforms,https://investor.fb.com/,https://stocklight.com/stocks/us/nasdaq-meta/meta-platforms/annual-reports/nasdaq-meta-2024-10K-24588444.pdf
Berkshire Hathaway,https://www.berkshirehathaway.com/,https://www.berkshirehathaway.com/2023ar/2023ar.pdf
Lilly(Eli),https://www.lilly.com/,https://stocklight.com/stocks/us/nyse-lly/lilly-eli/annual-reports/nyse-lly-2024-10K-24657434.pdf
Broadcom,https://www.broadcom.com/,https://stocklight.com/stocks/us/nasdaq-avgo/broadcom/annual-reports/nasdaq-avgo-2023-10K-231487721.pdf
Tesla,https://www.tesla.com/,https://stocklight.com/stocks/us/nasdaq-tsla/tesla/annual-reports/nasdaq-tsla-2024-10K-24569853.pdf
Visa,https://usa.visa.com/,https://stocklight.com/stocks/us/nyse-v/visa/annual-reports/nyse-v-2023-10K-231410612.pdf
JPMorgan Chase,https://www.jpmorganchase.com/,https://stocklight.com/stocks/us/nyse-jpm/jpmorgan-chase/annual-reports/nyse-jpm-2024-10K-24648657.pdf
Exxon Mobil,https://corporate.exxonmobil.com/,https://stocklight.com/stocks/us/nyse-xom/exxon-mobil/annual-reports/nyse-xom-2024-10K-24696144.pdf
Walmart,https://www.stock.walmart.com/,https://stocklight.com/stocks/us/nyse-wmt/walmart/annual-reports/nyse-wmt-2024-10K-24755648.pdf
Unitedhealth Group,https://www.unitedhealthgroup.com/,https://stocklight.com/stocks/us/nyse-unh/unitedhealth-group/annual-reports/nyse-unh-2024-10K-24696722.pdf
Mastercard Incorporated,https://www.mastercard.com/,https://stocklight.com/stocks/us/nyse-ma/mastercard-incorporated/annual-reports/nyse-ma-2024-10K-24624060.pdf
Procter & Gamble,https://www.pginvestor.com/,https://stocklight.com/stocks/us/nyse-pg/procter-gamble/annual-reports/nyse-pg-2023-10K-231144232.pdf
Johnson & Johnson,https://www.jnj.com/,https://stocklight.com/stocks/us/nyse-jnj/johnson-johnson/annual-reports/nyse-jnj-2024-10K-24648459.pdf
Costco Wholesale,https://www.costco.com/,https://stocklight.com/stocks/us/nasdaq-cost/costco-wholesale/annual-reports/nasdaq-cost-2023-10K-231319106.pdf
Home Depot,https://www.homedepot.com/,https://stocklight.com/stocks/us/nyse-hd/home-depot/annual-reports/nyse-hd-2024-10K-24746409.pdf
Merck,https://www.merck.com/,https://stocklight.com/stocks/us/nyse-mrk/merck/annual-reports/nyse-mrk-2024-10K-24838538.pdf
Oracle,https://www.oracle.com/,https://stocklight.com/stocks/us/nyse-orcl/oracle/annual-reports/nyse-orcl-2023-10K-231025071.pdf
Chevron,https://www.chevron.com/,https://stocklight.com/stocks/us/nyse-cvx/chevron/annual-reports/nyse-cvx-2024-10K-24678720.pdf
Bank Of America,https://www.bankofamerica.com/,https://stocklight.com/stocks/us/nyse-bac/bank-of-america/annual-reports/nyse-bac-2024-10K-24654595.pdf
Abbvie,https://www.abbvie.com/,https://stocklight.com/stocks/us/nyse-abbv/abbvie/annual-reports/nyse-abbv-2024-10K-24652004.pdf
Coca-Cola,https://www.coca-colacompany.com/,https://stocklight.com/stocks/us/nyse-ko/coca-cola/annual-reports/nyse-ko-2024-10K-24652148.pdf
Salesforce,https://www.salesforce.com/,https://stocklight.com/stocks/us/nyse-crm/salesforce/annual-reports/nyse-crm-2024-10K-24726424.pdf
Netflix,https://www.netflix.com/,https://stocklight.com/stocks/us/nasdaq-nflx/netflix/annual-reports/nasdaq-nflx-2024-10K-24567688.pdf
Arrow Minerals,https://arrowminerals.com.au,https://announcements.asx.com.au/asxpdf/20230330/pdf/45n634wx8f38df.pdf
PepsiCo,https://www.pepsico.com/,https://stocklight.com/stocks/us/nasdaq-pep/pepsico/annual-reports/nasdaq-pep-2024-10K-24610492.pdf
Adobe,https://www.adobe.com/,https://stocklight.com/stocks/us/nasdaq-adbe/adobe/annual-reports/nasdaq-adbe-2024-10K-24536501.pdf
Thermo Fisher Scientific,https://www.thermofisher.com/,https://stocklight.com/stocks/us/nyse-tmo/thermo-fisher-scientific/annual-reports/nyse-tmo-2024-10K-24663631.pdf
Wells Fargo,https://www.wellsfargo.com/,https://stocklight.com/stocks/us/nyse-wfc/wells-fargo/annual-reports/nyse-wfc-2024-10K-24654705.pdf
Qualcomm,https://www.qualcomm.com/,https://stocklight.com/stocks/us/nasdaq-qcom/qualcomm/annual-reports/nasdaq-qcom-2023-10K-231368348.pdf
Walt Disney Co (The),https://www.thewaltdisneycompany.com/,https://stocklight.com/stocks/us/nyse-dis/walt-disney-co-the/annual-reports/nyse-dis-2024-10K-24557290.pdf
McDonald`s,https://corporate.mcdonalds.com/,https://stocklight.com/stocks/us/nyse-mcd/mcdonald-s/annual-reports/nyse-mcd-2024-10K-24663493.pdf
Cisco Systems,https://www.cisco.com/,https://stocklight.com/stocks/us/nasdaq-csco/cisco-systems/annual-reports/nasdaq-csco-2023-10K-231242626.pdf
T-Mobile US,https://www.t-mobile.com/,https://stocklight.com/stocks/us/nasdaq-tmus/t-mobile-us/annual-reports/nasdaq-tmus-2024-10K-24591428.pdf
